Au (Gold) - Johnson and Christy 1

wavelength (nm), Im(eps)
435.083, 5.73744
434.348, 5.74537
433.615, 5.75294
432.884, 5.76015
432.156, 5.76702
431.43, 5.77354
430.707, 5.77973
430.556, 5.78098
429.986, 5.78559
429.267, 5.79112
428.551, 5.79633
427.837, 5.80123
427.126, 5.80583
426.417, 5.81012
425.71, 5.81412
425.006, 5.81784
424.304, 5.82127
423.604, 5.82443
422.907, 5.82733
422.212, 5.82996
421.519, 5.83234
420.828, 5.83447
420.14, 5.83636
419.454, 5.83802
418.77, 5.83945
418.089, 5.84065
417.409, 5.84164
416.732, 5.84242
416.057, 5.843
415.385, 5.84339
414.714, 5.84358
414.046, 5.8436
413.379, 5.84343
413.333, 5.84342
412.715, 5.8431
412.053, 5.8426
411.393, 5.84195
410.735, 5.84115
410.08, 5.8402
409.426, 5.83911
408.775, 5.83789
408.125, 5.83654
407.478, 5.83507
406.833, 5.83349
406.189, 5.8318
405.548, 5.83001
404.909, 5.82812
404.272, 5.82614
403.636, 5.82408
403.003, 5.82193
402.372, 5.81972
401.743, 5.81743
401.115, 5.81508
400.49, 5.81268
399.867, 5.81022
399.245, 5.80772
398.626, 5.80518
398.008, 5.8026
397.436, 5.80017
397.392, 5.79999
396.778, 5.79735
396.167, 5.79469
395.557, 5.79202
394.948, 5.78934
394.342, 5.78665
393.738, 5.78396
393.135, 5.78127
392.534, 5.77859
391.935, 5.77592
391.338, 5.77327
390.743, 5.77064
390.15, 5.76804
389.558, 5.76547
388.968, 5.76293
388.38, 5.76043
387.794, 5.75797
387.209, 5.75555
386.627, 5.75319
386.046, 5.75088
385.466, 5.74862
384.889, 5.74643
384.313, 5.7443
383.739, 5.74224
383.166, 5.74025
382.596, 5.73833
382.027, 5.73649
381.538, 5.73497
381.459, 5.73473
380.894, 5.73305
380.33, 5.73145
379.768, 5.72995
379.207, 5.72853
378.648, 5.72721
378.091, 5.72599
377.535, 5.72486
376.981, 5.72383
376.429, 5.7229
375.878, 5.72208
375.329, 5.72136
374.781, 5.72075
374.235, 5.72025
373.691, 5.71986
373.148, 5.71957
372.607, 5.71941
372.067, 5.71935
371.529, 5.71941
370.992, 5.71958
370.457, 5.71987
369.924, 5.72027
369.392, 5.72078
368.862, 5.72142
368.333, 5.72216
367.953, 5.72277
367.805, 5.72303
367.279, 5.724
366.755, 5.72509
366.232, 5.72629
365.711, 5.7276
365.191, 5.72903
364.672, 5.73055
364.156, 5.73219
363.64, 5.73393
363.126, 5.73577
362.613, 5.73771
362.102, 5.73975
361.593, 5.74188
361.084, 5.7441
360.578, 5.7464
360.072, 5.74879
359.568, 5.75126
359.065, 5.7538
358.564, 5.7564
358.065, 5.75908
357.566, 5.76181
357.069, 5.76459
356.573, 5.76742
356.079, 5.77029
355.586, 5.7732
355.095, 5.77613
354.605, 5.77908
354.286, 5.781
354.116, 5.78203
353.628, 5.785
353.142, 5.78795
352.657, 5.79089
352.174, 5.79381
351.692, 5.79669
351.211, 5.79952
350.731, 5.8023
350.253, 5.80501
349.776, 5.80764
349.301, 5.81018
348.826, 5.81261
348.353, 5.81493
347.882, 5.81711
347.411, 5.81916
346.942, 5.82104
346.474, 5.82274
346.007, 5.82426
345.542, 5.82557
345.078, 5.82666
344.615, 5.82751
344.153, 5.8281
343.693, 5.82843
343.233, 5.82846
342.775, 5.82819
342.541, 5.82792
342.319, 5.82759
341.863, 5.82666
341.409, 5.82536
340.956, 5.82369
340.504, 5.82163
340.053, 5.81917
339.603, 5.81628
339.155, 5.81295
338.708, 5.80918
338.262, 5.80495
337.817, 5.80024
337.373, 5.79506
336.931, 5.7894
336.49, 5.78325
336.049, 5.77661
335.61, 5.76949
335.172, 5.76189
334.736, 5.75383
334.3, 5.74531
333.866, 5.73636
333.432, 5.72701
333, 5.71727
332.569, 5.70718
332.139, 5.69679
331.71, 5.68614
331.551, 5.68212
331.282, 5.67527
330.856, 5.66425
330.43, 5.65313
330.006, 5.64197
329.582, 5.63084
329.16, 5.61982
328.739, 5.60898
328.318, 5.59838
327.899, 5.58811
327.481, 5.57823
327.064, 5.56882
326.649, 5.55994
326.234, 5.55166
325.82, 5.54404
325.407, 5.53712
324.995, 5.53095
324.585, 5.52556
324.175, 5.52099
323.767, 5.51724
323.359, 5.51433
322.953, 5.51226
322.547, 5.51102
322.143, 5.5106
321.739, 5.51095
321.337, 5.51207
320.935, 5.51389
320.535, 5.5164
320.413, 5.51728
320.135, 5.51952
319.737, 5.52322
319.339, 5.52744
318.943, 5.53212
318.547, 5.5372
318.153, 5.54264
317.759, 5.54837
317.367, 5.55433
316.975, 5.56048
316.585, 5.56676
316.195, 5.57313
315.806, 5.57953
315.418, 5.58593
315.032, 5.59228
314.646, 5.59855
314.261, 5.60469
313.877, 5.61069
313.494, 5.61652
313.112, 5.62213
312.73, 5.62752
312.35, 5.63267
311.971, 5.63755
311.592, 5.64215
311.215, 5.64646
310.838, 5.65047
310.777, 5.65109
310.463, 5.65416
310.088, 5.65753
309.714, 5.66058
309.341, 5.6633
308.969, 5.66568
308.598, 5.66772
308.228, 5.66943
307.858, 5.6708
307.49, 5.67184
307.122, 5.67254
306.755, 5.67291
306.39, 5.67296
306.025, 5.67267
305.66, 5.67207
305.297, 5.67115
304.935, 5.66991
304.573, 5.66837
304.212, 5.66653
303.853, 5.66439
303.494, 5.66196
303.136, 5.65925
302.778, 5.65626
302.422, 5.65299
302.066, 5.64946
301.711, 5.64567
301.357, 5.64163
301.004, 5.63733
300.971, 5.63691
300.652, 5.6328
300.301, 5.62803
299.95, 5.62303
299.6, 5.6178
299.251, 5.61236
298.903, 5.60671
298.556, 5.60086
298.209, 5.5948
297.863, 5.58855
297.518, 5.58211
297.174, 5.5755
296.831, 5.5687
296.488, 5.56173
296.146, 5.5546
295.805, 5.54731
295.465, 5.53986
295.126, 5.53226
294.787, 5.52451
294.449, 5.51663
294.112, 5.50861
293.776, 5.50046
293.44, 5.49218
293.105, 5.48378
292.771, 5.47526
292.453, 5.46703
292.438, 5.46663
292.105, 5.4579
291.773, 5.44905
291.442, 5.44011
291.112, 5.43107
290.783, 5.42193
290.454, 5.41271
290.126, 5.4034
289.799, 5.39401
289.472, 5.38454
289.146, 5.37499
288.821, 5.36537
288.497, 5.35569
288.173, 5.34594
287.85, 5.33612
287.528, 5.32625
287.207, 5.31632
286.886, 5.30634
286.566, 5.29631
286.246, 5.28622
285.928, 5.2761
285.61, 5.26593
285.293, 5.25572
284.976, 5.24547
284.66, 5.23518
284.404, 5.22678
284.345, 5.22487
284.031, 5.21452
283.717, 5.20414
283.404, 5.19373
283.092, 5.18331
282.78, 5.17285
282.469, 5.16238
282.159, 5.15189
281.85, 5.14138
281.541, 5.13086
281.232, 5.12032
280.925, 5.10977
280.618, 5.09921
280.312, 5.08864
280.006, 5.07806
279.701, 5.06748
279.397, 5.0569
279.094, 5.04631
278.791, 5.03572
278.488, 5.02513
278.187, 5.01454
277.886, 5.00395
277.586, 4.99337
277.286, 4.98279
276.987, 4.97222
276.689, 4.96166
276.391, 4.9511
276.169, 4.94323
276.094, 4.94055
275.798, 4.93001
275.502, 4.91948
275.207, 4.90897
274.912, 4.89847
274.618, 4.88798
274.325, 4.8775
274.032, 4.86705
273.74, 4.8566
273.449, 4.84618
273.158, 4.83577
272.868, 4.82538
272.578, 4.81501
272.29, 4.80466
272.001, 4.79433
271.714, 4.78402
271.426, 4.77373
271.14, 4.76346
270.854, 4.75321
270.569, 4.74299
270.284, 4.7328
270, 4.72262
269.717, 4.71247
269.434, 4.70235
269.151, 4.69225
268.98, 4.68614
268.87, 4.68218
268.588, 4.67213
268.308, 4.66211
268.028, 4.65211
267.749, 4.64215
267.47, 4.63221
267.192, 4.6223
266.914, 4.61241
266.637, 4.60256
266.361, 4.59273
266.085, 4.58294
265.809, 4.57317
265.535, 4.56343
265.26, 4.55372
264.987, 4.54404
264.714, 4.53439
264.441, 4.52477
264.169, 4.51519
263.898, 4.50563
263.627, 4.4961
263.357, 4.4866
263.087, 4.47714
262.818, 4.46771
262.549, 4.4583
262.281, 4.44893
262.014, 4.43959
261.747, 4.43028
261.603, 4.42529
261.48, 4.42101
261.214, 4.41176
260.949, 4.40255
260.684, 4.39337
260.42, 4.38422
260.156, 4.3751
259.893, 4.36601
259.63, 4.35696
259.368, 4.34794
259.107, 4.33895
258.846, 4.32999
258.585, 4.32106
258.325, 4.31217
258.065, 4.30331
257.806, 4.29448
257.548, 4.28568
257.29, 4.27692
257.033, 4.26818
256.776, 4.25948
256.519, 4.25081
256.263, 4.24218
256.008, 4.23357
255.753, 4.225
255.499, 4.21646
255.245, 4.20795
255.144, 4.20457
254.991, 4.19947
254.739, 4.19102
254.486, 4.18261
254.234, 4.17423
253.983, 4.16587
253.732, 4.15755
253.482, 4.14927
253.232, 4.14101
252.983, 4.13278
252.734, 4.12459
252.485, 4.11642
252.237, 4.10829
251.99, 4.10019
251.743, 4.09212
251.497, 4.08408
251.251, 4.07607
251.005, 4.06809
250.76, 4.06014
250.515, 4.05222
250.271, 4.04434
250.028, 4.03648
249.785, 4.02865
249.542, 4.02085
249.3, 4.01309
249.058, 4.00535
248.996, 4.00336
248.817, 3.99764
248.576, 3.98996
248.336, 3.98231
248.096, 3.9747
247.857, 3.96711
247.618, 3.95954
247.379, 3.95201
247.141, 3.94451
246.904, 3.93704
246.667, 3.92959
246.43, 3.92217
246.194, 3.91479
245.958, 3.90743
245.723, 3.9001
245.488, 3.89279
245.254, 3.88552
245.02, 3.87827
244.786, 3.87105
244.553, 3.86386
244.321, 3.85669
244.089, 3.84956
243.857, 3.84245
243.626, 3.83537
243.395, 3.82831
243.164, 3.82128
242.934, 3.81428
242.705, 3.80731
242.661, 3.80599
242.476, 3.80036
242.247, 3.79344
242.019, 3.78655
241.791, 3.77968
241.564, 3.77284
241.337, 3.76602
241.11, 3.75923
240.884, 3.75247
240.658, 3.74573
240.433, 3.73901
240.208, 3.73233
239.984, 3.72566
239.76, 3.71903
239.536, 3.71242
239.313, 3.70583
239.091, 3.69927
238.868, 3.69273
238.646, 3.68622
238.425, 3.67973
238.204, 3.67327
237.983, 3.66683
237.763, 3.66041
237.543, 3.65402
237.323, 3.64765
237.104, 3.64131
237.094, 3.641
236.886, 3.63499
236.668, 3.62869
236.45, 3.62242
236.232, 3.61617
236.015, 3.60995
235.799, 3.60374
235.582, 3.59756
235.366, 3.59141
235.151, 3.58527
