Ag (Silver) - Johnson and Christy

wavelength (nm), Im(eps)
438.799, 0.0113743
438.051, 0.0105865
437.305, 0.00982354
436.562, 0.00908555
435.822, 0.00837283
435.083, 0.00768563
434.348, 0.00702418
433.615, 0.00638874
432.884, 0.00577956
432.156, 0.00519691
431.43, 0.00464105
430.707, 0.00411225
430.556, 0.00400507
429.986, 0.00361079
429.267, 0.00313693
428.551, 0.00269096
427.837, 0.00227316
427.126, 0.00188383
426.417, 0.00152326
425.71, 0.00119175
425.006, 0.000889594
424.304, 0.000617112
423.604, 0.000374611
422.907, 0.00016241
422.212, -1.91706e-05
421.519, -0.000169803
420.828, -0.000289157
420.14, -0.000376894
419.454, -0.000432675
418.77, -0.000456152
418.089, -0.000446974
417.409, -0.000404785
416.732, -0.000329224
416.057, -0.000219923
415.385, -7.6511e-05
414.714, 0.00010139
414.046, 0.000314161
413.379, 0.000562192
413.333, 0.00058065
412.715, 0.000845876
412.053, 0.00116561
411.393, 0.0015218
410.735, 0.00191486
410.08, 0.0023452
409.426, 0.00281324
408.775, 0.00331941
408.125, 0.00386414
407.478, 0.00444788
406.833, 0.00507106
406.189, 0.00573415
405.548, 0.00643758
404.909, 0.00718184
404.272, 0.00796738
403.636, 0.00879468
403.003, 0.00966423
402.372, 0.0105765
401.743, 0.011532
401.115, 0.0125313
400.49, 0.0135747
399.867, 0.0146629
399.245, 0.0157964
398.626, 0.0169757
398.008, 0.0182013
397.436, 0.0193819
397.392, 0.0194738
396.778, 0.0207937
396.167, 0.0221616
395.557, 0.023578
394.948, 0.0250435
394.342, 0.0265587
393.738, 0.0281241
393.135, 0.0297404
392.534, 0.0314081
391.935, 0.0331279
391.338, 0.0349003
390.743, 0.036726
390.15, 0.0386057
389.558, 0.0405398
388.968, 0.0425292
388.38, 0.0445743
387.794, 0.0466759
387.209, 0.0488347
386.627, 0.0510513
386.046, 0.0533264
385.466, 0.0556607
384.889, 0.0580548
384.313, 0.0605095
383.739, 0.0630255
383.166, 0.0656035
382.596, 0.0682442
382.027, 0.0709484
381.538, 0.073327
381.459, 0.0737168
380.894, 0.0765501
380.33, 0.0794491
379.768, 0.0824146
379.207, 0.0854473
378.648, 0.088548
378.091, 0.0917176
377.535, 0.0949567
376.981, 0.0982663
376.429, 0.101647
375.878, 0.1051
375.329, 0.108626
374.781, 0.112225
374.235, 0.115899
373.691, 0.119648
373.148, 0.123474
372.607, 0.127376
372.067, 0.131357
371.529, 0.135417
370.992, 0.139556
370.457, 0.143776
369.924, 0.148077
369.392, 0.152461
368.862, 0.156929
368.333, 0.16148
367.953, 0.164813
367.805, 0.166117
367.279, 0.170841
366.755, 0.175651
366.232, 0.180549
365.711, 0.185537
365.191, 0.190615
364.672, 0.195783
364.156, 0.201044
363.64, 0.206397
363.126, 0.211845
362.613, 0.217387
362.102, 0.223026
361.593, 0.228761
361.084, 0.234595
360.578, 0.240527
360.072, 0.24656
359.568, 0.252693
359.065, 0.258929
358.564, 0.265268
358.065, 0.271711
357.566, 0.27826
357.069, 0.284914
356.573, 0.291676
356.079, 0.298547
